Node,Disp_X,Disp_Y,Disp_Z,Rot_X,Rot_Y,Rot_Z
46,2.038968711975434,5.846695467080669e-07,-3.6576932516206195,-1.131991722603997e-07,0.5701274904525881,1.1237821707627962e-09
47,2.0493023430614077,5.882147272826761e-07,-7.161344846971626,-1.1505301268863012e-07,0.4242534568700479,1.262148907185604e-09
48,2.0653481354745975,5.953309128663979e-07,-5.394251694425724,-1.1702377982692867e-07,0.15030962416748303,1.4599583161179065e-09
49,2.0389687070712723,4.581064020841021e-07,-6.564186981924248,-8.947741905164493e-08,0.7759509032844365,7.540448635596204e-10
50,2.0493023373156354,4.606137306586042e-07,-11.819996996543388,-9.115589075134943e-08,0.46347605995051583,1.0371219300106069e-09
51,2.0653481281916317,4.674714490753271e-07,-9.248160396326742,-9.277593972887842e-08,-0.017961170407010382,1.5375086463677544e-09
52,2.0389687044032216,-2.364862609869881e-07,-6.674617079229496,4.6665049533060314e-08,0.7879408617085049,3.4022695939009464e-10
53,2.0493023325037054,-2.3487076281212343e-07,-11.995545240073541,4.625888291531613e-08,0.47096218178235155,8.919299099101537e-10
54,2.0653481198024437,-2.275342546254008e-07,-9.393775224064925,4.505615221001338e-08,-0.022353970782277872,1.7957910541061605e-09
55,2.038968703104288,-8.622133792146498e-07,-5.042780431193988,1.6844284630692722e-07,0.6680832128912177,3.3709569445704827e-10
56,2.0493023281393454,-8.605003049920964e-07,-9.389035632809522,1.6897712114566498e-07,0.43307434113631765,8.755384616614679e-10
57,2.065348110613854,-8.535611963377064e-07,-7.231627572269892,1.6838380603273207e-07,0.06000712793470782,1.7443867737591083e-09
58,2.0389687019972036,-5.611982142330092e-07,-2.572840374652388,1.094326047140237e-07,0.49224825935301986,4.552024349569023e-10
59,2.0493023255522993,-5.593003534636318e-07,-5.3135561396167335,1.0972307536203272e-07,0.4117873342206561,8.470388826362343e-10
60,2.0653481055980047,-5.532540560896789e-07,-3.912320164225254,1.0952987768960031e-07,0.21646000337350102,1.5437205353924099e-09
61,3.270471843577958,9.54235531211368e-07,-4.243202745397703,-1.3266593075423045e-07,0.6330782009743088,3.026610811424532e-09
62,3.3089198857128785,9.628287898602245e-07,-8.278505809777842,-1.3531375326740634e-07,0.4742278702396768,2.9935021503137685e-09
63,3.386556302368793,9.785657618876406e-07,-6.251878564446246,-1.3842315161441482e-07,0.23309108232769252,2.8045177185835218e-09
64,3.270471828106858,7.511757754272263e-07,-7.601752077275476,-1.052585508194476e-07,0.8162215465032615,2.4736629153670173e-09
65,3.30891987137466,7.584821681004776e-07,-13.614336125471624,-1.081519635636319e-07,0.5036085121525672,2.565994138385018e-09
66,3.3865562900326256,7.72267997419697e-07,-10.690528573522315,-1.1033655219557004e-07,0.07946774300187981,2.6323105346550334e-09
