Elemento,Tipo,Nodo_I,Nodo_J,X_I,Y_I,Z_I,X_J,Y_J,Z_J,Longitud,N_I,Vy_I,Vz_I,T_I,My_I,Mz_I,N_Centro,Vy_Centro,Vz_Centro,T_Centro,My_Centro,Mz_Centro,N_J,Vy_J,Vz_J,T_J,My_J,Mz_J
90,Viga_X,41,47,5.0000,0.0000,7.0000,10.0000,0.0000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
91,Viga_X,42,48,5.0000,5.0000,7.0000,10.0000,5.0000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
92,Viga_X,43,49,5.0000,10.0000,7.0000,10.0000,10.0000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
93,Viga_X,44,50,5.0000,15.0000,7.0000,10.0000,15.0000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
94,Viga_X,45,51,5.0000,18.0000,7.0000,10.0000,18.0000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
107,Viga_X,34,40,0.0000,-0.6000,7.0000,5.0000,-0.6000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
108,Viga_X,40,46,5.0000,-0.6000,7.0000,10.0000,-0.6000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
109,Viga_X,53,59,0.0000,0.0000,10.0000,5.0000,0.0000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
110,Viga_X,54,60,0.0000,5.0000,10.0000,5.0000,5.0000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
111,Viga_X,55,61,0.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
112,Viga_X,56,62,0.0000,15.0000,10.0000,5.0000,15.0000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
113,Viga_X,57,63,0.0000,18.0000,10.0000,5.0000,18.0000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
114,Viga_X,59,65,5.0000,0.0000,10.0000,10.0000,0.0000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
115,Viga_X,60,66,5.0000,5.0000,10.0000,10.0000,5.0000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
116,Viga_X,61,67,5.0000,10.0000,10.0000,10.0000,10.0000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
117,Viga_X,62,68,5.0000,15.0000,10.0000,10.0000,15.0000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
118,Viga_X,63,69,5.0000,18.0000,10.0000,10.0000,18.0000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
131,Viga_X,52,58,0.0000,-0.6000,10.0000,5.0000,-0.6000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
132,Viga_X,58,64,5.0000,-0.6000,10.0000,10.0000,-0.6000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
133,Viga_X,71,77,0.0000,0.0000,13.0000,5.0000,0.0000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
134,Viga_X,72,78,0.0000,5.0000,13.0000,5.0000,5.0000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
135,Viga_X,73,79,0.0000,10.0000,13.0000,5.0000,10.0000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
136,Viga_X,74,80,0.0000,15.0000,13.0000,5.0000,15.0000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
137,Viga_X,75,81,0.0000,18.0000,13.0000,5.0000,18.0000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
138,Viga_X,77,83,5.0000,0.0000,13.0000,10.0000,0.0000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
139,Viga_X,78,84,5.0000,5.0000,13.0000,10.0000,5.0000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
140,Viga_X,79,85,5.0000,10.0000,13.0000,10.0000,10.0000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
141,Viga_X,80,86,5.0000,15.0000,13.0000,10.0000,15.0000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
142,Viga_X,81,87,5.0000,18.0000,13.0000,10.0000,18.0000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
155,Viga_X,70,76,0.0000,-0.6000,13.0000,5.0000,-0.6000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
156,Viga_X,76,82,5.0000,-0.6000,13.0000,10.0000,-0.6000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
71,Viga_Y,17,18,0.0000,0.0000,4.0000,0.0000,5.0000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
72,Viga_Y,18,19,0.0000,5.0000,4.0000,0.0000,10.0000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
73,Viga_Y,19,20,0.0000,10.0000,4.0000,0.0000,15.0000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
74,Viga_Y,20,21,0.0000,15.0000,4.0000,0.0000,18.0000,4.0000,3.0000,,,,,,,,,,,,,,,,,,
75,Viga_Y,23,24,5.0000,0.0000,4.0000,5.0000,5.0000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
76,Viga_Y,24,25,5.0000,5.0000,4.0000,5.0000,10.0000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
77,Viga_Y,25,26,5.0000,10.0000,4.0000,5.0000,15.0000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
78,Viga_Y,26,27,5.0000,15.0000,4.0000,5.0000,18.0000,4.0000,3.0000,,,,,,,,,,,,,,,,,,
79,Viga_Y,29,30,10.0000,0.0000,4.0000,10.0000,5.0000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
80,Viga_Y,30,31,10.0000,5.0000,4.0000,10.0000,10.0000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
81,Viga_Y,31,32,10.0000,10.0000,4.0000,10.0000,15.0000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
82,Viga_Y,32,33,10.0000,15.0000,4.0000,10.0000,18.0000,4.0000,3.0000,,,,,,,,,,,,,,,,,,
95,Viga_Y,35,36,0.0000,0.0000,7.0000,0.0000,5.0000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
96,Viga_Y,36,37,0.0000,5.0000,7.0000,0.0000,10.0000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
97,Viga_Y,37,38,0.0000,10.0000,7.0000,0.0000,15.0000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
98,Viga_Y,38,39,0.0000,15.0000,7.0000,0.0000,18.0000,7.0000,3.0000,,,,,,,,,,,,,,,,,,
99,Viga_Y,41,42,5.0000,0.0000,7.0000,5.0000,5.0000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
