Elemento,Tipo,Nodo_I,Nodo_J,X_I,Y_I,Z_I,X_J,Y_J,Z_J,Longitud,N_I,Vy_I,Vz_I,T_I,My_I,Mz_I,N_Centro,Vy_Centro,Vz_Centro,T_Centro,My_Centro,Mz_Centro,N_J,Vy_J,Vz_J,T_J,My_J,Mz_J
60,Viga_X,31,32,11.0000,13.0000,3.0000,16.0000,13.0000,3.0000,5.0000,-1.5088,0.4490,3.5128,0.0000,-2.5196,1.1620,0.0000,0.0000,3.7500,0.0000,0.5929,1.1225,1.5088,-0.4490,3.9872,-0.0000,3.7054,1.0831
61,Viga_X,33,34,0.0000,0.0000,6.0000,5.0000,0.0000,6.0000,5.0000,-1.5478,0.1630,4.1377,0.0000,-4.0725,0.8307,0.0000,0.0000,3.7500,0.0000,-0.9692,0.4076,1.5478,-0.1630,3.3623,-0.0000,2.1342,-0.0156
62,Viga_X,34,35,5.0000,0.0000,6.0000,11.0000,0.0000,6.0000,6.0000,-2.8955,-0.0000,4.5000,0.0000,-4.3998,1.0408,0.0000,0.0000,4.5000,0.0000,-0.0000,-0.0000,2.8955,0.0000,4.5000,-0.0000,4.3998,-1.0408
63,Viga_X,35,36,11.0000,0.0000,6.0000,16.0000,0.0000,6.0000,5.0000,-1.5478,-0.1630,3.3623,-0.0000,-2.1342,0.0156,0.0000,0.0000,3.7500,0.0000,0.9692,-0.4076,1.5478,0.1630,4.1377,0.0000,4.0725,-0.8307
64,Viga_X,37,38,0.0000,4.0000,6.0000,5.0000,4.0000,6.0000,5.0000,-1.5478,0.3267,4.4496,0.0000,-4.8525,1.0321,0.0000,0.0000,3.7500,0.0000,-1.7490,0.8167,1.5478,-0.3267,3.0504,-0.0000,1.3545,0.6014
65,Viga_X,38,39,5.0000,4.0000,6.0000,11.0000,4.0000,6.0000,6.0000,-2.8955,-0.0000,4.5000,0.0000,-4.2922,0.5365,0.0000,0.0000,4.5000,0.0000,-0.0000,-0.0000,2.8955,0.0000,4.5000,-0.0000,4.2922,-0.5365
66,Viga_X,39,40,11.0000,4.0000,6.0000,16.0000,4.0000,6.0000,5.0000,-1.5478,-0.3267,3.0504,-0.0000,-1.3545,-0.6014,0.0000,0.0000,3.7500,0.0000,1.7490,-0.8167,1.5478,0.3267,4.4496,0.0000,4.8525,-1.0321
67,Viga_X,41,42,0.0000,9.0000,6.0000,5.0000,9.0000,6.0000,5.0000,-1.5478,-0.3267,4.4496,-0.0000,-4.8525,-1.0321,0.0000,0.0000,3.7500,0.0000,-1.7490,-0.8167,1.5478,0.3267,3.0504,0.0000,1.3545,-0.6014
68,Viga_X,42,43,5.0000,9.0000,6.0000,11.0000,9.0000,6.0000,6.0000,-2.8955,-0.0000,4.5000,0.0000,-4.2922,-0.5365,0.0000,0.0000,4.5000,0.0000,-0.0000,-0.0000,2.8955,0.0000,4.5000,-0.0000,4.2922,0.5365
69,Viga_X,43,44,11.0000,9.0000,6.0000,16.0000,9.0000,6.0000,5.0000,-1.5478,0.3267,3.0504,0.0000,-1.3545,0.6014,0.0000,0.0000,3.7500,0.0000,1.7490,0.8167,1.5478,-0.3267,4.4496,-0.0000,4.8525,1.0321
